fecha,curso,nivel,precio,precio_competencia,rating_promedio,descuento_pct,clicks,tiempo_browsing,paginas_visitadas,categorias_visitadas,logueado,edad,genero,nivel_educativo,codigo_promocional,referrer,es_feriado,es_domingo,dia_semana,hora,dias_desde_promocion,dispositivo,ventas
2023-10-16,Liderazgo,Inicial,30.52467686806698,36.003128354493214,3.920046399367508,21.624049990280415,8,164.11846684362058,8,Liderazgo,0,46.66344573409314,M,Posgrado,0,youtube,0,0,0,12,23,PC,0
2024-01-25,Finanzas,Inicial,33.32322794698442,23.055403321001137,3.5231771352221894,29.33116349266895,0,128.8405329892606,3,Liderazgo,0,22.744891998526153,M,Posgrado,0,buscador,0,0,3,18,16,PC,0
2023-10-13,Liderazgo,Inicial,42.47651184584667,49.353295440609486,3.970999055820631,7.915947484621594,7,88.22559133374378,4,Liderazgo,1,27.27984213838555,F,Terciario,1,otros,0,0,4,3,26,PC,3
2024-03-31,Liderazgo,Inicial,30.162422158429457,30.41475780364699,3.6713423789088613,28.779709097341986,7,69.93344291406052,4,Liderazgo,1,32.580619563796,F,Terciario,1,competencia,0,1,6,2,20,Móvil,2
2023-07-27,Finanzas,Intermedio,44.359132839574954,17.736396671345,3.2469237750249107,8.353794886209972,1,46.379746433213555,4,Finanzas,1,21.78619739693912,M,Posgrado,0,correo,0,0,3,16,3,PC,3
2023-12-13,Finanzas,Intermedio,51.989946512321296,43.30210703551547,4.0269114704020845,3.8175940265756445,2,74.2804843798148,5,Data Science,1,38.33627298165234,Otro,Universitario,0,competencia,1,0,2,21,22,Móvil,2
2023-02-19,Liderazgo,Inicial,27.579853315454308,6.8430361586555435,3.965049664232935,34.90450160043649,4,73.09305699141014,10,Data Science,1,43.14084511824058,F,Universitario,0,competencia,0,1,6,17,1,PC,0
2023-07-02,Data Science,Inicial,39.46804017214345,32.084169714494806,3.6714134799288254,32.41336976789372,6,8.918244816424167,4,Data Science,0,23.167976451298927,F,Terciario,0,otros,0,1,6,0,13,Móvil,1
2023-05-30,Liderazgo,Intermedio,47.51443521413788,50.58025838138182,3.509304817839206,5.822392908912497,2,46.9284060860299,2,Liderazgo,1,25.21307339073308,M,Terciario,0,correo,1,0,1,13,6,Móvil,0
2023-03-08,Liderazgo,Intermedio,50.091985335698,47.104476993879636,3.759936429998884,4.482726324239471,1,61.26330268765397,9,Finanzas,1,43.94002026595794,F,Universitario,1,redes,0,0,2,22,17,PC,2
2023-12-06,Liderazgo,Inicial,33.114569548495965,39.2752807397603,3.6777294173523774,22.973970457216893,2,98.28378357559954,7,Data Science,1,33.44714419312067,F,Universitario,0,redes,0,0,2,7,13,PC,0
2023-08-24,Liderazgo,Avanzado,82.45650371071996,58.98176418632555,3.516265955557476,0.8500497598131143,6,97.98157215124937,5,Finanzas,0,29.795671644156368,F,Secundario,0,buscador,0,0,3,7,1,PC,6
2023-05-20,Finanzas,Inicial,36.95096255111201,46.53406671636874,4.259704193057271,13.928988087783338,3,61.41836385960642,3,Finanzas,1,24.378741470661772,F,Universitario,0,competencia,0,0,5,13,0,Móvil,2
2023-04-01,Liderazgo,Intermedio,53.33741804716126,55.793240952019076,4.064477273063358,6.130904530520905,1,93.93494597857888,5,Liderazgo,1,28.308930203473924,F,Terciario,0,youtube,0,0,5,12,21,Móvil,2
2024-01-12,Data Science,Inicial,41.71473371230051,29.06480113396022,3.7409118664678767,13.154730235466264,1,141.68718449453374,6,Liderazgo,0,30.535395176642435,Otro,Posgrado,0,otros,1,0,4,7,7,PC,1
2023-08-02,Finanzas,Inicial,32.24746249855714,31.998101329614197,3.186141237730063,22.190420962259857,5,25.04399479850928,6,Finanzas,1,38.39501463981764,M,Universitario,0,buscador,0,0,2,8,8,PC,0
2023-12-24,Data Science,Avanzado,86.49551782027216,108.40577721818369,4.574999545586396,8.403457215202204,5,125.02989693401747,1,Liderazgo,1,31.972702926160267,F,Terciario,1,youtube,1,1,6,7,2,Móvil,1
2023-11-10,Data Science,Inicial,27.65374514520357,42.30604184465362,4.116903637216849,4.901512298468533,4,12.002903609290854,4,Finanzas,0,22.898321861317513,M,Universitario,0,redes,0,0,4,14,15,Móvil,2
2023-09-16,Data Science,Intermedio,59.874117964421174,76.64977581685403,4.173605202475929,5.225290906884378,2,75.49625793169949,7,Liderazgo,0,26.771647081637774,F,Posgrado,0,youtube,0,0,5,21,5,PC,2
2023-04-28,Data Science,Inicial,28.26151973700215,26.13252894752332,3.83696830072127,35.844154226829275,3,157.28864956809903,6,Liderazgo,0,20.819566976786856,Otro,Universitario,0,buscador,0,0,4,6,9,Móvil,1
2024-06-07,Finanzas,Intermedio,57.43016685666419,68.7948311425587,3.9501326646733945,8.439725937243093,4,115.67690744095475,5,Finanzas,1,30.675517136699384,M,Secundario,0,buscador,0,0,4,8,21,PC,1
2023-05-18,Finanzas,Avanzado,84.45959366457173,97.56185430951948,4.22757840494053,4.012007957624629,7,44.790890855145605,6,Data Science,1,54.54186947757929,F,Terciario,0,buscador,0,0,3,0,9,Móvil,2
